,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
26,31.mat,31,194.10326155911946,16000,1.9814871122018531,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,194.10326155911946,,3.3349375,0.5960502906717711,0.545735384094433,0.121859474745232,0.0018841345255810001,0.260166105521704,0.332941392898474,0.335767541533156,1.286665258486163,1.090907783048072,5.8011098589407135,0.144103243386423,1.2110219633299741,
27,32.mat,32,190.91178685811505,16000,17.316230046647576,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.91178685811505,,6.1699375,,,,,,,,,,12.963703984243846,,-4.462443181678698,
28,33.mat,33,318.12779073263647,16000,3.3227633568717767,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,318.12779073263647,,2.87,0.600448759931946,0.5509806230992049,0.134986854327392,0.002126050561797,0.278205421311995,0.355051574157776,0.330542899816901,1.1764210166194828,0.9840443383285459,8.0402113491065,0.177027868174972,-2.411888979043147,
29,34.mat,34,226.20868561670585,16000,4.788944970641492,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,226.20868561670585,,2.9149375,0.607903693413821,0.557880476579494,0.13275504800825502,0.002022235783657,0.27552021353824,0.348763758999508,0.325283328235746,1.194844830247697,0.9938525150256691,2.704129573157356,0.160551820322697,-0.773542694013308,
30,35.mat,35,183.792562429028,16000,7.9649463629150965,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,183.792562429028,,4.695,0.4952995923820949,0.15045862171670998,0.073149821275334,0.00038447882456,0.043439010130902,0.19495397699900302,0.19143515784865198,10.402184140235274,2.4636751911083303,38.23707747106201,0.6745484926598809,-4.891587974495854,
31,36.mat,36,187.59360277029583,16000,0.87353222852708,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,187.59360277029583,,3.0749375,0.540420098359738,0.490679756597656,0.09158421868823599,0.0015015554274569998,0.21476152479893804,0.263256569973655,0.317406624792209,1.493441590803831,1.2660528565626021,38.431802978973714,0.159328891043975,4.877092059374974,
32,37.mat,37,105.67318668607048,16000,1.1089519625000381,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,105.67318668607048,,3.4049375,0.606274221613293,0.553825647053694,0.069886724116838,0.001017658395753,0.273346432338951,0.19995211540435298,0.35018782481838,1.219023091972747,0.991728873149393,3.1644373121252483,0.19869029634553698,0.726717058126167,
33,38.mat,38,196.56899731927425,16000,1.758166518647961,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,196.56899731927425,,3.1449375,0.562062984060967,0.509720191210122,0.053806337155609,0.0008408850025499999,0.24584134035696698,0.16553652334606,0.318103350342664,1.2854042017088272,1.07120124995012,16.250037512338352,0.142189065835734,5.114314268348521,
34,39.mat,39,188.77383285074757,16000,7.210556408755517,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,188.77383285074757,,5.515,0.554683034845593,0.5049452945252101,0.096596769603252,0.0015415975987870003,0.21715957944945605,0.27861044667393703,0.312209336378529,1.503882554322422,1.26398258607538,8.375334938340393,0.173341367064883,3.7987609716300184,
35,4.mat,4,175.71567581601073,16000,3.4396919597582,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,175.71567581601073,,2.565,0.561089337125052,0.508024877734603,0.116007151457427,0.0019859421175770003,0.270007799678177,0.311118202926787,0.30348935793118204,1.102552189944417,0.8803545778670471,16.773239039341203,0.14683491231503198,1.882491903327308,
