,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
28,33.mat,33,254.88053284103654,16000,0.047234575966357,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,254.88053284103654,,0.842875,,,,,,,,,,12.843211078603597,,-6.889422121662536,
29,34.mat,34,261.8901113588115,16000,0.710692068048883,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,261.8901113588115,,12.3965625,,,,,,,,,,9.759918039042194,,-6.938158762810946,
30,35.mat,35,271.6363227728303,16000,0.640561400127434,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,271.6363227728303,,6.29425,0.929089592240188,0.8716316712711859,0.006132166674396,2.2758669424000005e-05,0.8547914768813529,0.011868590216747,0.029770716531107,0.157033930574567,0.098146206609105,0.8595233167710391,0.46878297285909004,-7.970853502465168,
31,36.mat,36,252.61078518706555,16000,0.05115957465909599,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,252.61078518706555,,1.792125,,,,,,,,,,16.063773908858884,,-7.32789298255518,
32,37.mat,37,335.8262201908981,16000,0.399767803770162,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,335.8262201908981,,1.5751875,0.8187394914498392,0.569135102151463,0.082539668825859,0.000245555552624,0.175165928198228,0.15868110062888,0.19861455599887198,1.7302007226233416,0.56416736490659,21.02224783878916,0.584842117494212,-14.029378141958064,
33,38.mat,38,265.8320284813588,16000,0.154824683415963,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,265.8320284813588,,1.24975,,,,,,,,,,16.486420300988073,,-2.5429900532826357,
34,39.mat,39,252.69126116034676,16000,0.25331635278147796,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,252.69126116034676,,1.3310625,,,,,,,,,,21.91760584315584,,-5.5471634730198325,
35,4.mat,4,60.018796048667134,16000,0.001488900824297,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,60.018796048667134,,7.64725,0.9650329000497109,0.8815301345523431,0.227138502740042,0.003888009282527,0.4515442609869099,0.596046920768319,0.45967639117998493,0.9414992410427271,0.8042073868098879,24.04226213766717,0.24955080368496899,-3.9912656095496937,
36,40.mat,40,249.696776796817,16000,0.11486557526649901,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,249.696776796817,,1.087,,,,,,,,,,20.48599920901961,,-8.346711006741657,
37,41.mat,41,220.50986256051164,16000,0.081961288308937,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,220.50986256051164,,0.7588125,0.9418256165240991,0.560626096691619,0.028658822596585,0.000129643376629,0.5479670528206221,0.064446746787437,0.054370948210315996,0.5732965245329399,0.110165391971701,0.528179259149354,0.597479736288691,-0.47426936433624794,
38,42.mat,42,241.9532726439741,16000,1.0877386929459811,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,241.9532726439741,,1.726,,,,,,,,,,6.483053839005798,,-3.6947195239008774,
39,43.mat,43,215.75276478785375,16000,0.096274695911299,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,215.75276478785375,,1.3758125,,,,,,,,,,3.7588621401470985,,-0.196347647844137,
40,44.mat,44,245.22320196539997,16000,0.562309803392164,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,245.22320196539997,,1.109,,,,,,,,,,2.6844218836422793,,1.7346702836770502,
